link,property_name,unit_number,start_date,end_date,total_price
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-05-17,2026-05-20,840.0
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-05-20,2026-05-23,1004.0
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-05-23,2026-05-26,
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-05-26,2026-05-29,982.0
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-05-29,2026-06-01,
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-01,2026-06-04,892.0
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-04,2026-06-07,
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-07,2026-06-10,904.0
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-10,2026-06-13,1085.0
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-13,2026-06-16,
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-16,2026-06-19,1038.0
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-19,2026-06-22,
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-22,2026-06-25,981.0
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-25,2026-06-28,
https://www.airbnb.com/rooms/990833735613623342,maui_vista,-,2026-06-28,2026-07-01,1003.0
